Kingdom	Phylum	Class	Order	Family	Genus	Species
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae		
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	MWH-CFBk5	uncultured bacterium	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	MWH-CFBk5	uncultured bacterium	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	OLB8	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	uncultured Bacteroidetes bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Cnuella	Ambiguous_taxa
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured Bacteroidetes bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophagaceae bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga cymbidii
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Cnuella	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	uncultured Chitinophagaceae bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niabella	Niabella ginsengisoli
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	uncultured Bacteroidetes bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	uncultured Bacteroidetes bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Dinghuibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Pseudoflavitalea	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Pseudoflavitalea	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavitalea	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavitalea	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	Ambiguous_taxa
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Dinghuibacter	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Filimonas	Ambiguous_taxa
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Filimonas	Filimonas sp. R5-375
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Filimonas	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Filimonas	Filimonas sp. CC-YHH650
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Ambiguous_taxa
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Flavisolibacter sp. BS3-3-4
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Haoranjiania	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	Chitinophaga sp. BN130233
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	Chitinophaga sp. BN130233
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured Sphingobacterium sp.
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured marine bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	Bacteroidetes bacterium 47-18
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured bacterium
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	unidentified
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	Ambiguous_taxa	Ambiguous_taxa
Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9 marine group	uncultured Flavobacteriales bacterium	uncultured Flavobacteriales bacterium
Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorpha	uncultured Flavobacteriia bacterium
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes VC2.1 Bac22	metagenome	metagenome	metagenome
