SampleID	.sample	BreedGroupID	FieldPeriodID	sample.id	BirdID	TubeNumber	OriginalSampleIDUnique	season	SequencingRun	CatchID	OccasionID	BTO	FieldRing	CatchTerritoryID	SampleDate	SampleYear	FreezerDate3	Timeinfridge	SampleType	SampleType4Way	ExtractionDate	Qubit	BirthDate	SexEstimate	SampleTime	CatchTime	Ageclass	AgeDays	SamplingAge	EyeColour	BreedTerritoryNumber	BreedTerritoryID	Status	TQcorrected	averageTQ_SameType	TQnotes_SameType	TQFinal_SameType	FieldPeriodID_LastSeen	LastPeriodSeenDate	LastBreedYearSeen	DaysToLastSeen	DiedEver	BirthDateEstimated	SampleReads	is.negLab	is.negCollection	MeanTQ_FP	MeanCentredTQ	Status2	Ageclass2	YrsToLastSeen	TerminalYear	Timeinfridge_scaled	CatchTime_scaled	TQcorrected_scaled	n_members	seasonstgt	HelperPresent	FledglingPresent	TerritoryID
Sample.74.84	1	7811	164	Sample.74.84	5595	84	84	Major	1	10206	13579	V267538	VG/GX	26	23/08/2017	2017	25/09/2017	33	Faecal	Faecal	23/01/2018	0.144	01/03/2011	1	09:21	201	A	2367	6.48	RB	20	26	BrM	38928.6	NA	NA	38928.6	171	09/03/2019	2019	563	yes	TRUE	39875	FALSE	FALSE	51559.520546875	-12630.920546875	Dominant	Old A	1.541409993155373	no	-0.2607721705410152	-0.4793704999378764	0.22162387664798003	5	6	no	no	26
Sample.10.15	2	7733	164	Sample.10.15	6370	15	15	Major	1	NA	13526	L921259	OR/BX	71	07/07/2017	2017	25/09/2017	80	Faecal	Faecal	22/01/2018	0.0608	17/07/2014	1	11:00	300	A	1086	2.973		50	71	BrM	16628.27	NA	NA	16628.27	176	30/09/2021	2021	1546	yes	TRUE	79525	FALSE	FALSE	51559.520546875	-34931.250546875	Dominant	A 1-3 yrs	4.232717316906228	no	0.7203710667175012	-0.1956590446405631	-0.17539690234559413	8	1	yes	no	71
Sample.103.116	3	7783	164	Sample.103.116	6567	116	116	Major	1	10241	13643	Z691105	NY/WX	165	10/09/2017	2017	25/09/2017	15	Faecal	Faecal	26/01/2018	NA	22/05/2015	1	16:55	655	A	842	2.305	RB	108	165	BrM	29038.84	NA	NA	29038.84	174	16/03/2020	2020	918	yes	FALSE	41307	FALSE	FALSE	51559.520546875	-22520.680546875	Dominant	A 1-3 yrs	2.513347022587269	no	-0.6365291550230002	0.8216901132437421	0.045552929749010825	9	4	yes	yes	165
Sample.104.117	4	7783	164	Sample.104.117	5634	117	117	Major	1	10240	13640	V267590	YR/KX	165	10/09/2017	2017	25/09/2017	15	Faecal	Faecal	26/01/2018	20	14/12/2010	0	16:37	637	A	2462	6.741	RB	108	165	BrF	29038.84	NA	NA	29038.84	164	20/09/2017	2017	10	yes	TRUE	51168	FALSE	FALSE	51559.520546875	-22520.680546875	Dominant	Old A	0.02737850787132101	yes	-0.6365291550230002	0.7701062122805942	0.045552929749010825	9	4	yes	yes	165
Sample.105.118	5	7810	164	Sample.105.118	6229	118	118	Major	1	10245	13639	L921252	NW/NX	13	11/09/2017	2017	25/09/2017	14	Faecal	Faecal	26/01/2018	0.0608	05/07/2014	0	07:49	109	A	1164	3.187	RB	8	13	BrF	57927.65	NA	NA	57927.65	174	16/03/2020	2020	917	yes	FALSE	28425	FALSE	FALSE	51559.520546875	6368.129453125002	Dominant	A 3-6 yrs	2.510609171800137	no	-0.6574045430497771	-0.7430215493050766	0.5598707829107065	7	5	no	no	13
Sample.106.119	6	7810	164	Sample.106.119	6229	119	119	Major	1	10245	13639	L921252	NW/NX	13	11/09/2017	2017	25/09/2017	14	Faecal	Faecal	15/01/2018	0.342	05/07/2014	0	07:49	109	A	1164	3.187	RB	8	13	BrF	57927.65	NA	NA	57927.65	174	16/03/2020	2020	917	yes	FALSE	49714	FALSE	FALSE	51559.520546875	6368.129453125002	Dominant	A 3-6 yrs	2.510609171800137	no	-0.6574045430497771	-0.7430215493050766	0.5598707829107065	7	5	no	no	13
Sample.107.120	7	7783	164	Sample.107.120	6704	120	120	Major	1	10243	13640	Z691316	GO/YX	165	10/09/2017	2017	25/09/2017	15	Faecal	Faecal	26/01/2018	0.056	22/05/2016	0	16:21	621	SA	476	1.303	LB	108	165	H	29038.84	NA	NA	29038.84	184	27/03/2023	2023	2024	no	TRUE	56151	FALSE	FALSE	51559.520546875	-22520.680546875	Subordinate	A 1-3 yrs	5.541409993155373	no	-0.6365291550230002	0.7242538558689072	0.045552929749010825	9	4	yes	yes	165
Sample.109.122	8	7773	164	Sample.109.122	6169	122	122	Major	1	10250	13659	L921300	BR/WX	140	13/09/2017	2017	25/09/2017	12	Faecal	Faecal	26/01/2018	0.0748	11/03/2014	0	09:15	195	A	1282	3.51	RB	94.2	140	BrF	28077.51	NA	NA	28077.51	173	23/09/2019	2019	740	yes	TRUE	73943	FALSE	FALSE	51559.520546875	-23482.010546875	Dominant	A 3-6 yrs	2.026009582477755	no	-0.6991553191033311	-0.496565133592259	0.028438026719777926	6	4	no	yes	140
Sample.110.123	9	7803	164	Sample.110.123	6044	123	123	Major	1	10258	13657	L921065	RO/KX	85	11/09/2017	2017	25/09/2017	14	Faecal	Faecal	26/01/2018	0.25	15/05/2013	0	15:37	577	A	1580	4.326	RB	57.1	85	BrF	61245.87	NA	NA	61245.87	184	27/03/2023	2023	2023	no	TRUE	52176	FALSE	FALSE	51559.520546875	9686.349453125003	Dominant	A 3-6 yrs	5.538672142368241	no	-0.6574045430497771	0.598159875736768	0.6189462445416356	5	4	no	no	85
Sample.111.124	10	7773	164	Sample.111.124	6169	124	124	Major	1	10250	13659	L921300	BR/WX	140	13/09/2017	2017	25/09/2017	12	Faecal	Faecal	15/01/2018	0.0764	11/03/2014	0	09:15	195	A	1282	3.51	RB	94.2	140	BrF	28077.51	NA	NA	28077.51	173	23/09/2019	2019	740	yes	TRUE	42801	FALSE	FALSE	51559.520546875	-23482.010546875	Dominant	A 3-6 yrs	2.026009582477755	no	-0.6991553191033311	-0.496565133592259	0.028438026719777926	6	4	no	yes	140
Sample.113.126	11	7808	164	Sample.113.126	6011	126	126	Major	1	10259	13660	L921037	EG/KX	43	12/09/2017	2017	25/09/2017	13	Faecal	Faecal	26/01/2018	0.0628	08/11/2012	1	07:20	80	A	1769	4.843	RB	30.2	43	BrM	68848.73	NA	NA	68848.73	176	30/09/2021	2021	1479	yes	TRUE	45510	FALSE	FALSE	51559.520546875	17289.209453124997	Dominant	A 3-6 yrs	4.049281314168378	no	-0.678279931076554	-0.8261289453012592	0.7543026899296223	5	5	no	no	43
