Genus,Oxygen,SporeForming
Achromobacter, Aerobic, No
Acidibacter, Aerobic, No
Acinetobacter, Aerobic, No
Alcaligenes, Aerobic, No
Alicycliphilus, Aerobic, No
Alteromonas, Aerobic, No
Aquabacterium, Aerobic, No
Aquicella, Aerobic, No
Arcobacter, Aerobic, No
Arenimonas, Aerobic, No
Arhodomonas, Aerobic, No
Arsenophonus, Aerobic, No
Asticcacaulis, Aerobic, No
Azospirillum, Aerobic, No
Bdellovibrio, Aerobic, No
Bordetella, Aerobic, No
Brevundimonas, Aerobic, No
Burkholderia-Caballeronia-Paraburkholderia, Aerobic, No
Caenimonas, Aerobic, No
Candidatus Blochmannia, Aerobic, No
Candidatus Moranella, Aerobic, No
Candidatus Portiera, Aerobic, No
Carnimonas, Aerobic, No
Caulobacter, Aerobic, No
Cellvibrio, Aerobic, No
Chalicogloea CCALA 975, Aerobic, No
Chelonobacter, Aerobic, No
Chitinimonas, Aerobic, No
Chlorogloeopsis PCC-7518, Aerobic, No
Chondromyces, Aerobic, No
Chroococcidiopsis PCC 7203, Aerobic, No
Chroococcidiopsis PCC-6712, Aerobic, No
Comamonas, Aerobic, No
Coxiella, Aerobic, No
Cupriavidus, Aerobic, No
Curvibacter, Aerobic, No
Cyanobium PCC-6307, Aerobic, No
Cystobacter, Aerobic, No
Delftia, Aerobic, No
Diplorickettsia, Aerobic, No
Dyella, Aerobic, No
Ellin6067, Aerobic, No
Enhydrobacter, Aerobic, No
Foliisarcina CENA333, Aerobic, No
Fontimonas, Aerobic, No
Geminicoccus, Aerobic, No
Glaciecola, Aerobic, No
Haliangium, Aerobic, No
Halomonas, Aerobic, No
Halovibrio, Aerobic, No
Herbaspirillum, Aerobic, No
Hyaloperonospora arabidopsidis, Aerobic, No
Hydrogenophaga, Aerobic, No
Idiomarina, Aerobic, No
Kosakonia, Aerobic, No
Koukoulia, Aerobic, No
Lamprocystis, Aerobic, No
Lampropedia, Aerobic, No
Legionella, Aerobic, No
Leptolyngbya Es-Yyy1000, Aerobic, No
Leptolyngbya PCC-6306, Aerobic, No
Limnobacter, Aerobic, No
Loriellopsis LF-B5, Aerobic, No
Luteibacter, Aerobic, No
Lysobacter, Aerobic, No
Marinagarivorans, Aerobic, No
Marinimicrobium, Aerobic, No
Marinobacter, Aerobic, No
Massilia, Aerobic, No
Mastigocladopsis PCC-10914, Aerobic, No
Methylophaga, Aerobic, No
Microbulbifer, Aerobic, No
MIZ36, Aerobic, No
Moraxella, Aerobic, No
