Genus,Aero,SporeForming
Uncultured bacterium,Variable,Variable
OLB8,Unknown,Unknown
Uncultured,Variable,Variable
Portibacter,Aerobic,No
Lewinella,Aerobic,No
Flavihumibacter,Aerobic,No
Chitinophaga,Aerobic,No
Flavisolibacter,Aerobic,No
Cnuella,Aerobic,No
Segetibacter,Aerobic,No
Niabella,Aerobic,No
Terrimonas,Aerobic,No
Ferruginibacter,Aerobic,No
Parafilimonas,Anaerobic,No
Niastella,Aerobic,No
Pseudoflavitalea,Aerobic,No
Flavitalea,Aerobic,No
Dinghuibacter,Aerobic,No
Filimonas,Anaerobic,No
Sediminibacterium,Aerobic,No
Haoranjiania,Aerobic,No
Taibaiella,Aerobic,No
Ambiguous_taxa,Variable,Variable
Cryomorpha,Aerobic,No
Metagenome,Variable,Variable (contains diverse organisms)
Uncultured soil bacterium,Variable,Variable
Uncultured Bacteroidetes bacterium,Anaerobic,No
Mucilaginibacter,Aerobic,No
Arcticibacter,Aerobic,No
Sphingobacterium,Aerobic,No
Nubsella,Aerobic,No
Pedobacter,Aerobic,No
Parapedobacter,Aerobic,No
Uncultured Bacteroidales bacterium,Anaerobic,No
Muribaculum,Anaerobic,No
Alloprevotella,Anaerobic,No
Prevotellaceae UCG-001,Anaerobic,No
Bacteroides,Anaerobic,No
Parabacteroides,Anaerobic,No
Candidatus Vestibaculum,Unknown,Unknown
Dysgonomonas,Anaerobic,No
Proteiniphilum,Anaerobic,No
Fermentimonas,Anaerobic,No
Porphyromonas,Anaerobic,No
Odoribacter,Anaerobic,No
Butyricimonas,Anaerobic,No
Sanguibacteroides,Anaerobic,No
Paludibacter,Anaerobic,No
Candidatus Sulcia,Unknown,Unknown
Candidatus Uzinura,Unknown,Unknown
Blattabacterium,Unknown,Unknown
Moheibacter,Aerobic,No
Cloacibacterium,Anaerobic,No
Chryseobacterium,Aerobic,No
Galbibacter,Aerobic,No
Aequorivita,Aerobic,No
Nonlabens,Aerobic,No
Vitellibacter,Aerobic,No
Formosa,Aerobic,No
Gelidibacter,Aerobic,No
Flavobacterium,Aerobic,No
Myroides,Aerobic,No
Sinomicrobium,Aerobic,No
Robertkochia,Aerobic,No
Gramella,Aerobic,No
Flavimarina,Aerobic,No
Zeaxanthinibacter,Aerobic,No
Muricauda,Aerobic,No
Robiginitalea,Aerobic,No
Pricia,Aerobic,No
Maritimimonas,Aerobic,No
Ornithobacterium,Aerobic,No
Apibacter,Aerobic,No
Empedobacter,Aerobic,No
Rikenella,Anaerobic,No
Alistipes,Anaerobic,No
Rikenellaceae RC9 gut group,Anaerobic,No
Solitalea,Aerobic,No
Lentimicrobium,Aerobic,No
Crocinitomix,Aerobic,No
Fluviicola,Aerobic,No
Uncultured Flavobacteriales bacterium,Aerobic,No
Uncultured marine bacterium,Variable,Variable
Candidatus Cardinium,Unknown,Unknown
Flectobacillus,Aerobic,No
Siphonobacter,Aerobic,No
Persicitalea,Aerobic,No
Dyadobacter,Aerobic,No
Larkinella,Aerobic,No
Fibrella,Aerobic,No
Spirosoma,Aerobic,No
Rhodocytophaga,Aerobic,No
Flexibacter,Aerobic,No
Leadbetterella,Aerobic,No
Emticicia,Aerobic,No
Hymenobacter,Aerobic,No
Algoriphagus,Aerobic,No
Uncultured Cytophagales bacterium,Aerobic,No
Tunicatimonas,Aerobic,No
Adhaeribacter,Aerobic,No
Sporocytophaga,Aerobic,No
Chryseolinea,Aerobic,No
Ohtaekwangia,Aerobic,No
Cytophaga,Aerobic,No
Uncultured Carnobacterium sp.,Facultative Anaerobic,No
Alterococcus,Facultative Anaerobic,No
Opitutus,Facultative Anaerobic,No
Lacunisphaera,Aerobic,No
Algisphaera,Aerobic,No
AKYG587,Unknown,Unknown
SM1A02,Unknown,Unknown
CL500-3,Unknown,Unknown
Urania-1B-19 marine sediment group,Unknown,Unknown
Tepidisphaera,Aerobic,No
Uncultured planctomycete,Variable,No
Planctomycetales bacterium Ellin6207,Unknown,No
Uncultured Planctomycetales bacterium,Variable,No
Uncultured candidate division SR1 bacterium,Unknown,Unknown
Candidate division SR1 bacterium MGEHA,Unknown,Unknown
Uncultured organism,Variable,Variable
Uncultured deep-sea bacterium,Variable,Variable
Uncultured Clostridium sp.,Anaerobic,Yes
Uncultured candidate division WS6 bacterium,Unknown,Unknown
Uncultured Microgenomates group bacterium,Unknown,Unknown
Uncultured bacterium GC1,Unknown,Unknown
Uncultured bacterium SBR2013,Unknown,Unknown
Soil bacterium WF55,Variable,Variable
Uncultured bacterium SBR1071,Unknown,Unknown
Candidate division TM7 bacterium LY2,Unknown,Unknown
Bacterium LWQ8,Unknown,Unknown
Uncultured cyanobacterium,Aerobic,No
Bacterium WWH38,Unknown,Unknown
Candidatus Saccharibacteria bacterium UB2523,Unknown,Unknown
Uncultured Candidatus Saccharibacteria bacterium,Unknown,Unknown
Uncultured compost bacterium,Variable,Variable
Uncultured gamma proteobacterium,Variable,No
Unidentified,Variable,Variable
Candidatus Saccharimonas,Unknown,Unknown
TM7 phylum sp. oral clone FR058,Unknown,Unknown
Candidate division TM7 bacterium JGI 0001002-L20,Unknown,Unknown
Marine metagenome,Variable,Variable (contains diverse organisms)
Thermus,Aerobic,No
Uncultured Sphingobium sp.,Aerobic,No
Uncultured bacterium SBR2096,Unknown,Unknown
Candidatus Saccharibacteria bacterium RAAC3_TM7_1,Unknown,Unknown
Uncultured candidate division WS5 bacterium,Unknown,Unknown
Wastewater metagenome,Variable,Variable (contains diverse organisms)
Meiothermus,Aerobic,No
Deinococcus,Aerobic,No
Acidothermus,Aerobic,No
Truepera,Aerobic,No
Brachyspira,Anaerobic,No
Sebaldella,Anaerobic,No
Fusobacterium,Anaerobic,No
Cetobacterium,Anaerobic,No
Endosymbionts8,Unknown,Unknown
Anaerobiospirillum,Anaerobic,No
Uncultured Planctomycetaceae bacterium,Variable,No
Thermocatellispora,Aerobic,No
Leptolyngbya ANT.L52.2,Aerobic,No
Chroococcidiopsis SAG 2023,Aerobic,No
FCPS473,Unknown,Unknown
Thermosporothrix,Aerobic,Yes
1921-2,Unknown,Unknown
Ktedonobacter,Aerobic,No
HSB OF53-F07,Unknown,Unknown
1959-1,Unknown,Unknown
Cloacibacillus,Facultative Anaerobic,Yes
Pyramidobacter,Unknown,Unknown
Myxosarcina SAG 30.84,Aerobic,No
ZOR0006,Unknown,Unknown
Holdemania,Anaerobic,No
Erysipelatoclostridium,Anaerobic,Yes
Coprobacillus,Facultative Anaerobic,Yes
Entomoplasma,Facultative Anaerobic,No
Spiroplasma,Facultative Anaerobic,No
Anaeroplasma,Anaerobic,No
Erysipelothrix,Facultative Anaerobic,No
Breznakia,Anaerobic,No
Faecalitalea,Anaerobic,No
[Clostridium] innocuum group,Anaerobic,Yes
Haloplasma,Anaerobic,No
Candidatus Bacilloplasma,Unknown,Unknown
Geomicrobium,Aerobic,No
Lactobacillus,Facultative Anaerobic,No
Pediococcus,Facultative Anaerobic,No
Weissella,Facultative Anaerobic,No
Fructobacillus,Facultative Anaerobic,No
Leuconostoc,Facultative Anaerobic,No
Anthococcus,Facultative Anaerobic,No
Streptococcus,Facultative Anaerobic,No
Lactococcus,Facultative Anaerobic,No
Lactovum,Facultative Anaerobic,No
Carnobacterium,Facultative Anaerobic,No
Lacticigenium,Facultative Anaerobic,No
Catellicoccus,Facultative Anaerobic,No
Aerosphaera,Aerobic,No
Facklamia,Facultative Anaerobic,No
Atopostipes,Facultative Anaerobic,No
Vagococcus,Facultative Anaerobic,No
Enterococcus,Facultative Anaerobic,No
Jeotgalibaca,Aerobic,No
Sinobaca,Aerobic,No
Marinococcus,Aerobic,No
Salimicrobium,Aerobic,No
Halobacillus,Aerobic,Yes
Terribacillus,Aerobic,Yes
Anaerobacillus,Anaerobic,Yes
Oceanobacillus,Aerobic,Yes
Halalkalibacillus,Aerobic,Yes
Pseudogracilibacillus,Aerobic,Yes
Gracilibacillus,Aerobic,Yes
Amphibacillus,Aerobic,Yes
Listeria,Facultative Anaerobic,No
Domibacillus,Aerobic,Yes
Virgibacillus,Aerobic,Yes
Geobacillus,Aerobic,Yes
Anoxybacillus,Aerobic,Yes
Sporosarcina,Facultative Anaerobic,Yes
Salipaludibacillus,Aerobic,Yes
Thermicanus,Aerobic,Yes
Savagea,Aerobic,Yes
Lysinibacillus,Aerobic,Yes
Rummeliibacillus,Aerobic,Yes
Kurthia,Aerobic,No
Solibacillus,Aerobic,Yes
Bacillus,Aerobic,Yes
Turicibacter,Facultative Anaerobic,No
