Genus,Gemini,GeminiCL,GeminiAura
[Clostridium] innocuum group,Anaerobic,-,-
[Eubacterium] brachy group,Anaerobic,Correct,Correct
[Eubacterium] coprostanoligenes group,Anaerobic,-,-
[Eubacterium] fissicatena group,Anaerobic,-,-
[Eubacterium] nodatum group,Anaerobic,-,Correct
[Eubacterium] xylanophilum group,Anaerobic,-,Correct
[Ruminococcus] torques group,Anaerobic,-,Correct
1174-901-12,Unknown,-,-
1921-2,Unknown,-,-
1959-1,Unknown,-,-
3PJM14,Unknown,-,-
A2,Anaerobic,-,-
Acetobacter,Aerotolerant,-,-
Acholeplasma,Aerotolerant,-,-
Achromobacter,Aerotolerant,-,Correct
Acidaminococcus,Anaerobic,-,-
Acidibacter,Aerotolerant,-,Correct
Acidicaldus,Aerotolerant,-,-
Acidiphilium,Aerotolerant,-,Correct
Acidipropionibacterium,Anaerobic,-,-
Acidothermus,Aerotolerant,-,-
Acinetobacter,Aerotolerant,-,Correct
Actibacterium,Aerotolerant,-,-
Actinoallomurus,Aerotolerant,-,-
Actinoalloteichus,Aerotolerant,-,-
Actinobacillus,Aerotolerant,-,-
actinobacterium BGR 88,Unknown,-,-
Actinocatenispora,Aerotolerant,-,-
Actinocorallia,Aerotolerant,-,-
Actinokineospora,Aerotolerant,-,-
Actinomadura,Aerotolerant,-,-
Actinomyces,Anaerobic,-,-
Actinomycetospora,Aerotolerant,-,-
Actinophytocola,Aerotolerant,-,-
Actinoplanes,Aerotolerant,Correct,Correct
Actinopolymorpha,Aerotolerant,-,-
Actinopolyspora,Aerotolerant,-,-
Actinospica,Aerotolerant,-,-
Actinotalea,Aerotolerant,-,-
Acuticoccus,Aerotolerant,-,-
Adhaeribacter,Aerotolerant,-,Correct
ADurb.Bin063-1,Unknown,-,-
Aequorivita,Aerotolerant,-,-
Aeromicrobium,Aerotolerant,-,-
Aeromonas,Aerotolerant,-,Correct
Aerosphaera,Aerotolerant,-,-
Aestuariimicrobium,Aerotolerant,-,-
Afifella,Aerotolerant,-,-
Afipia,Aerotolerant,-,-
Agaricicola,Aerotolerant,-,-
Agrococcus,Aerotolerant,Correct,-
Agromyces,Aerotolerant,-,Correct
Akkermansia,Anaerobic,Correct,-
AKYG587,Unknown,-,-
Alcaligenes,Aerotolerant,-,-
Algisphaera,Aerotolerant,-,-
Algoriphagus,Aerotolerant,-,-
Alicycliphilus,Aerotolerant,-,-
Aliifodinibius,Anaerobic,-,-
Aliihoeflea,Aerotolerant,-,-
Alishewanella,Aerotolerant,-,-
Alistipes,Anaerobic,Correct,Correct
Alkaliphilus,Aerotolerant,-,-
Alkanindiges,Aerotolerant,-,-
Allochromatium,Anaerobic,-,-
Alloprevotella,Anaerobic,-,Correct
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Aerotolerant,-,Correct
alphaI cluster,Unknown,-,-
Altererythrobacter,Aerotolerant,-,Correct
Alterococcus,Aerotolerant,-,-
Alteromonas,Aerotolerant,-,-
Amaricoccus,Aerotolerant,-,Correct
Ambiguous_taxa,Unknown,-,-
Aminobacter,Aerotolerant,-,Correct
Ammoniphilus,Aerotolerant,-,-
Amnibacterium,Aerotolerant,Correct,-
Amphibacillus,Aerotolerant,Correct,-
Amphiplicatus,Aerotolerant,-,-
Amycolatopsis,Aerotolerant,-,-
Anaerobacillus,Anaerobic,-,-
Anaerobiospirillum,Anaerobic,-,-
Anaerobium,Anaerobic,-,-
Anaerococcus,Anaerobic,-,-
Anaerocolumna,Anaerobic,-,-
Anaerofilum,Anaerobic,-,-
Anaerofustis,Anaerobic,Correct,-
Anaeromyxobacter,Aerotolerant,-,-
Anaeroplasma,Anaerobic,-,Correct
Anaerosinus,Anaerobic,-,-
Anaerosolibacter,Anaerobic,-,-
Anaerosporobacter,Anaerobic,-,Correct
Anaerostipes,Anaerobic,-,Correct
Anaerotruncus,Anaerobic,-,-
Anaerovibrio,Anaerobic,-,-
Anaerovorax,Anaerobic,Correct,-
Ancylobacter,Aerotolerant,-,-
Angustibacter,Anaerobic,-,-
Anoxybacillus,Aerotolerant,-,-
Anthococcus,Aerotolerant,-,-
Antricoccus,Aerotolerant,-,-
Apibacter,Aerotolerant,-,-
Aquabacterium,Aerotolerant,-,-
Aquamicrobium,Aerotolerant,-,-
Aquicella,Aerotolerant,-,-
Aquipuribacter,Aerotolerant,-,-
Aquisphaera,Aerotolerant,-,-
Aquitalea,Aerotolerant,-,-
Arcobacter,Aerotolerant,-,-
Arcticibacter,Aerotolerant,-,-
Arenimonas,Aerotolerant,-,Correct
Arhodomonas,Aerotolerant,-,-
Aridibacter,Aerotolerant,-,-
Armatimonas,Aerotolerant,-,-
Arsenicicoccus,Aerotolerant,-,-
Arsenophonus,Aerotolerant,-,-
Arthrobacter,Aerotolerant,-,Correct
Asaia,Aerotolerant,-,-
Asanoa,Aerotolerant,Correct,-
Asticcacaulis,Aerotolerant,-,-
AT-s3-44,Unknown,-,-
Atopobium,Anaerobic,-,-
Atopostipes,Aerotolerant,-,-
Aureimonas,Aerotolerant,-,-
Azoarcus,Anaerobic,-,-
Azospira,Anaerobic,-,-
Azospirillum,Aerotolerant,-,-
Bacillus,Aerotolerant,Correct,-
bacterium Ellin6529,Unknown,-,-
bacterium Ellin6537,Unknown,-,-
bacterium Ellin6543,Unknown,-,-
bacterium enrichment culture clone Anammox_49,Anaerobic,-,-
bacterium enrichment culture clone auto112_4W,Unknown,-,-
bacterium LWQ8,Unassigned,-,-
bacterium WWH38,Unassigned,-,-
bacterium WX65,Unknown,-,-
bacterium YC-ZSS-LKJ159,Unknown,-,-
bacterium YC-ZSS-LKJ66,Unknown,-,-
Bacteroides,Anaerobic,Correct,Correct
Baia,Aerotolerant,-,-
Bartonella,Aerotolerant,-,-
Bauldia,Aerotolerant,-,Correct
BD1-7 clade,Unknown,-,-
Bdellovibrio,Aerotolerant,-,-
Belnapia,Aerotolerant,-,-
Bhargavaea,Aerotolerant,-,-
Bifidobacterium,Anaerobic,-,Correct
Bilophila,Anaerobic,-,Correct
BIyi10,Unknown,-,-
Blastocatella,Aerotolerant,-,Correct
Blastochloris,Anaerobic,-,-
Blastococcus,Aerotolerant,-,-
Blastomonas,Aerotolerant,-,-
